apple olma
pen qalam
man erkak
woman ayol
book kitob
house uy
car mashina
dog it
cat mushuk
fish baliq
bird qush
tree daraxt
water suv
fire olov
earth yer
sky osmon
river daryo
mountain tog'
star yulduz
sun quyosh
moon oy
road yo'l
city shahar
village qishloq
friend do'st
family oila
child bola
baby go'dak
father ota
mother ona
brother aka
sister opa
food ovqat
drink ichimlik
bread non
milk sut
meat go'sht
rice guruch
salt tuz
sugar shakar
school maktab
teacher o'qituvchi
student talaba
bookstore kitob do'koni
library kutubxona
hospital shifoxona
medicine dori
doctor shifokor
nurse hamshira
police militsiya
soldier askar
firefighter o't o'chiruvchi
farmer dehqon
worker ishchi
boss boshliq
job ish
money pul
market bozor
shop do'kon
bank bank
hotel mehmonxona
restaurant restoran
museum muzey
airport aeroport
station vokzal
train poyezd
plane samolyot
bus avtobus
bike velosiped
taxi taksi
time vaqt
day kun
night tun
morning ertalab
evening kechqurun
week hafta
month oy
year yil
love sevgi
happy baxtli
sad qayg'uli
angry jahlli
cold sovuq
hot issiq
good yaxshi
bad yomon
big katta
small kichik
new yangi
old eski
strong kuchli
weak kuchsiz
beautiful go'zal
ugly xunuk
fast tez
slow sekin
yes ha
no yo'q
maybe balki
today bugun
tomorrow ertaga
yesterday kecha
always har doim
never hech qachon
please iltimos
thank you rahmat
sorry uzr
believe ishonmoq
